City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
169,Sao Joao Da Barra,BR,2022-07-17 22:28:28,-21.6403,-41.0511,72.82,84,100,20.18
170,Victoria,HK,2022-07-17 22:25:48,22.2855,114.1577,86.38,83,100,10.0
171,Mahebourg,MU,2022-07-17 22:28:28,-20.4081,57.7,68.29,77,20,14.97
172,Gariaband,IN,2022-07-17 22:28:29,20.635,82.0614,74.98,95,100,5.23
173,Stokmarknes,NO,2022-07-17 22:28:29,68.5646,14.9108,49.98,81,100,2.3
174,Karratha,AU,2022-07-17 22:28:30,-20.7377,116.8463,64.65,53,2,6.85
175,Klaksvik,FO,2022-07-17 22:28:30,62.2266,-6.589,50.92,88,99,21.83
176,Henties Bay,NA,2022-07-17 22:28:30,-22.116,14.2845,63.77,57,11,5.86
177,Champerico,GT,2022-07-17 22:28:31,14.3,-91.9167,90.14,73,49,5.95
178,Honningsvag,NO,2022-07-17 22:29:31,70.9821,25.9704,51.55,87,100,0.0
179,Nkan,GA,2022-07-17 22:29:32,0.3833,9.7833,73.17,82,29,3.58
180,Klyuchi,RU,2022-07-17 22:29:32,52.2667,79.1667,57.36,74,79,8.16
181,Provideniya,RU,2022-07-17 22:29:33,64.3833,-173.3,50.36,81,75,18.01
182,Rawson,AR,2022-07-17 22:29:33,-43.3002,-65.1023,47.3,55,31,13.69
183,San Patricio,US,2022-07-17 22:29:33,28.017,-97.5169,97.18,42,77,15.43
184,Luleburgaz,TR,2022-07-17 22:29:34,41.4039,27.3592,69.13,68,0,6.49
185,Shugurovo,RU,2022-07-17 22:29:34,54.5083,52.1326,61.56,75,53,2.21
186,Rognan,NO,2022-07-17 22:29:35,67.0953,15.3878,50.76,67,85,3.18
187,Iqaluit,CA,2022-07-17 22:29:35,63.7506,-68.5145,42.53,93,75,9.22
188,Saint-Philippe,RE,2022-07-17 22:29:36,-21.3585,55.7679,67.59,77,57,13.51
189,Sulangan,PH,2022-07-17 22:29:36,11.1373,123.7228,79.05,85,100,9.89
190,Saskylakh,RU,2022-07-17 22:28:17,71.9167,114.0833,49.32,50,97,9.4
191,Kouroussa,GN,2022-07-17 22:29:37,10.65,-9.8833,73.35,96,100,7.27
192,Kamyshin,RU,2022-07-17 22:29:37,50.0983,45.416,70.45,59,0,4.94
193,College,US,2022-07-17 22:29:38,64.8569,-147.8028,66.18,48,75,3.44
194,Svay Rieng,KH,2022-07-17 22:29:38,11.0879,105.7993,76.87,90,61,4.34
195,Heinola,FI,2022-07-17 22:29:39,61.2056,26.0381,48.99,89,94,6.44
196,Luderitz,NA,2022-07-17 22:29:39,-26.6481,15.1594,62.15,59,1,7.58
197,Arlit,NE,2022-07-17 22:29:40,18.7369,7.3853,94.42,29,73,9.31
198,Rehoboth,NA,2022-07-17 22:29:40,-23.3167,17.0833,53.06,34,5,6.93
199,Fairbanks,US,2022-07-17 22:26:43,64.8378,-147.7164,66.2,48,20,3.44
200,Poronaysk,RU,2022-07-17 22:29:41,49.2167,143.1167,54.37,97,100,16.42
201,Zhuhai,CN,2022-07-17 22:29:41,22.2769,113.5678,85.86,89,40,12.66
202,Dunmore Town,BS,2022-07-17 22:29:41,25.5,-76.65,82.72,79,73,14.9
203,Alta Floresta,BR,2022-07-17 22:29:42,-9.8756,-56.0861,83.12,28,1,4.41
204,Kajaani,FI,2022-07-17 22:29:42,64.2273,27.7285,55.45,94,20,2.3
205,Sept-Iles,CA,2022-07-17 22:28:58,50.2001,-66.3821,78.8,53,75,4.61
206,Umm Kaddadah,SD,2022-07-17 22:29:43,13.6017,26.6876,87.73,43,69,15.39
207,High Level,CA,2022-07-17 22:29:44,58.5169,-117.136,78.91,41,75,5.75
208,Batsfjord,NO,2022-07-17 22:29:44,70.6345,29.7185,51.73,93,100,10.36
209,Alofi,NU,2022-07-17 22:29:44,-19.0595,-169.9187,78.69,73,1,18.41
210,Kidal,ML,2022-07-17 22:29:45,18.4411,1.4078,90.66,38,9,10.42
211,Sumy,UA,2022-07-17 22:29:45,50.9216,34.8003,52.11,94,32,5.93
212,Portland,US,2022-07-17 22:28:38,45.5234,-122.6762,77.9,45,75,9.22
213,Tynda,RU,2022-07-17 22:29:46,55.1667,124.7167,65.32,92,6,1.9
214,Bhawana,PK,2022-07-17 22:29:46,31.5692,72.649,84.56,67,17,2.15
215,Banda Aceh,ID,2022-07-17 22:29:47,5.5577,95.3222,79.12,83,85,5.48
216,Katakwi,UG,2022-07-17 22:29:47,1.8911,33.9661,66.99,86,86,2.66
217,Buala,SB,2022-07-17 22:29:48,-8.145,159.5921,82.65,75,34,10.76
218,Ekangala,ZA,2022-07-17 22:29:48,-25.6962,28.7492,48.27,56,0,2.01
219,Kahului,US,2022-07-17 22:29:49,20.8947,-156.47,86.97,69,20,24.16
220,Aswan,EG,2022-07-17 22:29:49,24.0934,32.907,88.9,16,0,10.36
