City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
266,Adrar,MR,20.5022,-10.0711,87.96,32,75,8.01,broken clouds
267,Ketchikan,US,55.3422,-131.6461,55.87,88,100,8.05,overcast clouds
268,Hay River,CA,60.8156,-115.7999,60.78,82,56,4.61,broken clouds
269,Henties Bay,NA,-22.116,14.2845,55.4,82,0,5.5,clear sky
270,Kudahuvadhoo,MV,2.6708,72.8944,81.05,74,100,10.94,moderate rain
271,Nadym,RU,65.5333,72.5167,56.89,54,69,16.13,broken clouds
272,Atlantic Beach,US,30.3344,-81.3987,77.02,94,0,6.91,clear sky
273,Opuwo,NA,-18.0607,13.84,52.83,38,0,4.45,clear sky
274,Loa Janan,ID,-0.583,117.095,87.01,69,52,3.4,broken clouds
275,Glace Bay,CA,46.1969,-59.957,66.78,78,20,14.97,few clouds
276,Kwinana,AU,-32.25,115.7667,62.19,67,86,22.75,overcast clouds
277,Port Townsend,US,48.117,-122.7605,69.76,77,36,5.01,scattered clouds
278,Katsuura,JP,35.1333,140.3,81.36,77,92,8.88,overcast clouds
279,Souillac,MU,-20.5167,57.5167,66.58,94,75,20.71,light intensity shower rain
280,Mahibadhoo,MV,3.7833,72.9667,80.65,77,100,14.5,moderate rain
281,Porangatu,BR,-13.4408,-49.1486,70.39,43,0,1.83,clear sky
282,Centralia,US,46.7162,-122.9543,73.45,65,0,0.0,clear sky
283,Ozamiz,PH,8.1458,123.8444,87.08,72,70,2.42,broken clouds
284,Ballina,AU,-28.8667,153.5667,62.02,85,100,19.71,moderate rain
285,Dryden,CA,49.7833,-92.7503,70.09,60,0,11.5,clear sky
286,Karratha,AU,-20.7377,116.8463,78.94,32,5,3.67,clear sky
287,Nagato,JP,34.3833,131.2,84.45,81,96,14.99,overcast clouds
288,Mancio Lima,BR,-7.6142,-72.8958,71.67,100,0,0.0,clear sky
289,Mulchen,CL,-37.7167,-72.2333,50.16,98,100,5.23,overcast clouds
290,Kemalpasa,TR,38.4262,27.4173,72.18,73,0,7.14,clear sky
291,Codrington,AU,-38.2667,141.9667,59.61,56,4,8.66,clear sky
292,Husavik,IS,66.0449,-17.3389,44.8,88,65,2.93,broken clouds
293,Mandera,KE,3.9366,41.867,73.17,53,100,17.94,overcast clouds
294,Huilong,CN,31.8111,121.655,83.08,80,95,10.8,overcast clouds
295,Sistranda,NO,63.7256,8.834,53.56,95,100,13.2,overcast clouds
296,Bantry,IE,51.6833,-9.45,56.79,88,62,4.5,broken clouds
297,La Ronge,CA,55.1001,-105.2842,66.42,55,75,9.22,broken clouds
298,Saint-Pierre,RE,-21.3393,55.4781,69.48,62,1,16.11,clear sky
299,Viedma,AR,-40.8135,-62.9967,47.68,37,84,23.64,broken clouds
300,Anadyr,RU,64.75,177.4833,52.3,57,75,17.9,light intensity shower rain
301,Aktash,RU,50.3,87.7333,52.47,44,95,4.81,overcast clouds
302,Rocha,UY,-34.4833,-54.3333,59.5,95,56,10.04,broken clouds
303,Alexandria,EG,31.2156,29.9553,76.96,69,0,11.5,clear sky
304,Hamilton,US,39.1834,-84.5333,80.67,89,0,1.99,clear sky
305,Ushibuka,JP,32.1906,130.0228,80.2,95,100,11.88,overcast clouds
306,Tongchuan,CN,35.0806,109.0897,82.63,49,0,7.47,clear sky
307,Prince Rupert,CA,54.3161,-130.3201,56.89,82,75,6.91,broken clouds
308,Shihezi,CN,44.3,86.0333,86.97,15,2,7.85,clear sky
309,Kieta,PG,-6.2167,155.6333,84.69,65,71,5.28,broken clouds
310,Boa Vista,BR,2.8197,-60.6733,78.78,78,40,3.44,scattered clouds
311,Asyut,EG,27.181,31.1837,77.18,43,0,11.74,clear sky
312,Manaus,BR,-3.1019,-60.025,79.29,83,0,5.75,clear sky
313,Gorontalo,ID,0.5412,123.0595,88.11,63,12,4.97,few clouds
314,Upata,VE,8.0086,-62.3989,73.18,96,100,2.53,overcast clouds
315,Sobolevo,RU,54.4299,31.8996,57.43,78,81,14.76,broken clouds
316,Caravelas,BR,-17.7125,-39.2481,69.73,81,0,5.61,clear sky
317,Ahualulco,MX,22.4,-101.1667,71.42,58,12,11.81,few clouds
318,Wajima,JP,37.4,136.9,81.28,78,75,6.91,broken clouds
319,Tomatlan,MX,19.9333,-105.25,79.81,84,59,4.29,broken clouds
320,Miandrivazo,MG,-19.5167,45.4667,65.73,62,0,3.89,clear sky
321,Kommunisticheskiy,RU,61.6789,64.4819,63.61,47,100,10.22,overcast clouds
322,Margate,GB,51.3813,1.3862,65.89,81,85,5.99,overcast clouds
323,Sao Felix Do Xingu,BR,-6.6447,-51.995,75.52,51,93,2.26,overcast clouds
324,Keetmanshoop,NA,-26.5833,18.1333,49.8,53,2,4.54,clear sky
325,Dicabisagan,PH,17.0818,122.4157,88.27,66,98,5.01,overcast clouds
